No,Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career
18825,PhD,Science,SQL,Tally ERP,73,Research Scientist
18826,PhD,Business,"Counseling, SQL",Creative Writing,61,Research Scientist
18827,Bachelor's,Engineering,"System Design, OWASP",Selenium Certification,61,Automation Test Engineer
18828,Bachelor's,Computer Science,"AWS, C++, Python",CKA (Kubernetes),75,DevOps Engineer
18829,Bachelor's,Engineering,"Git, HTML, Kali Linux",AWS Certified DevOps Engineer,62,DevOps Engineer
18830,PhD,Science,"Problem Solving, Jira",CISSP,72,Cryptographer
18831,Bachelor's,Engineering,"Spark, Cryptography, Django, TensorFlow",Figma Professional,90,Product Designer
18832,Intermediate,Computer Science,"Notion, Flutter, HTTP/HTTPS, SQL",ICAgile,70,Scrum Master / Agile Coach
18833,Bachelor's,Engineering,"Spring Boot, TCP/IP, Penetration Testing, Technical Writing",CISSP,79,Security Engineer
18834,Master's,Computer Science,"Windows Server, Problem Solving, SQLite",CEH (Certified Ethical Hacker),74,Cybersecurity Analyst
18835,Intermediate,Computer Science,"CentOS, Microservices",TensorFlow Developer Certificate,63,NLP Engineer
18836,Bachelor's,Psychology,"Git, Kotlin/Java (Android)",AWS Certified Mobile,64,Mobile Developer (iOS / Android)
18837,Bachelor's,Finance,"Microservices, PowerShell",Google Cloud Architect,61,Solutions Architect
18838,Bachelor's,Psychology,"C#, JavaScript",Meta Full Stack Developer,72,Full Stack Developer
18839,Master's,Computer Science,"Python, Communication, SQL",CFA Level 1,72,Research Scientist
18840,Bachelor's,Computer Science,"Node.js, Angular, Analytical Thinking",Microsoft Azure Developer,64,Full Stack Developer
18841,Bachelor's,Business,"Technical Writing, Design Patterns, GraphQL, OOP",Microsoft Power BI,69,Business Analyst
18842,Bachelor's,Commerce,"System Design, Agile/Scrum, PostgreSQL",PMI-PBA,84,Business Analyst
18843,Bachelor's,Finance,"SQL, Counseling",Google Data Analytics,77,Research Scientist
18844,Master's,Computer Science,"OSI Model, Docker, Kubernetes",Google Professional ML Engineer,90,ML Engineer
18845,Bachelor's,Engineering,"Windows Server, Java, C#",Oracle DBA Certified,75,Database Administrator (DBA)
18846,Bachelor's,Engineering,"Windows Server, SQL, TCP/IP",PostgreSQL Associate,95,Database Administrator (DBA)
18847,PhD,Science,"Go, PowerShell",eJPT,87,Penetration Tester (Ethical Hacker)
18848,Bachelor's,Computer Science,"Express, VPN",AWS Certified Machine Learning,88,NLP Engineer
18849,Bachelor's,Engineering,"OOP, Linux (Ubuntu), Scikit-learn",CertNexus IoT,64,Embedded Systems Engineer
18850,Bachelor's,Science,"React Native, Flutter, Problem Solving, Linux (Ubuntu)",Meta Spark AR,62,AR/VR Developer
18851,PhD,Engineering,"Spark, Swift (iOS)",HP ALM Certified,60,QA Engineer / Software Tester
18852,Master's,Computer Science,"Microservices, Kubernetes, Python, Redis",Google Professional ML Engineer,61,Machine Learning Engineer
18853,Master's,Science,Data Analysis,,91,Data Entry Operator
18854,Master's,Computer Science,"Go, Design Patterns, C#, Terraform",Meta Full Stack Developer,91,Full Stack Developer
18855,PhD,Science,"Design Patterns, Jetpack Compose, C#, Java",IBM Data Science Professional,91,Research Scientist
18856,Bachelor's,Arts,"Agile/Scrum, Subnetting, VPN",ITIL Foundation,93,Technical Writer
18857,Bachelor's,Computer Science,"PHP, Java",Oracle Java Certified,95,Software Engineer / Developer
18858,Master's,Science,"CI/CD, Technical Writing, OOP",HP ALM Certified,69,QA Engineer / Software Tester
18859,Master's,Engineering,"Scala, VPN, Terraform",Cisco CyberOps,83,IoT Engineer
18860,Bachelor's,Computer Science,"Debian, Elasticsearch, REST API, Spark",Microsoft Power BI,89,Data Analyst
18861,PhD,Arts,"Design Patterns, Confluence, Problem Solving, Firebase",Adobe Certified Professional,63,Product Designer
18862,Bachelor's,Psychology,"Jira, Flutter, Docker, Analytical Thinking",TOGAF,67,IT Consultant
18863,Master's,Computer Science,"Burp Suite, Ruby",AWS Certified Developer,73,Backend Developer
18864,PhD,Commerce,"OOP, Swift (iOS)",Microsoft Azure Developer,94,Backend Developer
18865,Master's,Computer Science,"React Native, Jetpack Compose",AWS Certified Machine Learning,85,Data Scientist
18866,Bachelor's,Computer Science,"GitHub Actions, C#, PowerShell, Analytical Thinking",Cisco CCNA,67,Infrastructure Engineer
18867,Bachelor's,Engineering,"HTTP/HTTPS, PostgreSQL, Design Patterns",Google Associate Cloud Engineer,68,Software Engineer
18868,Intermediate,Business,"Elasticsearch, GitLab",Tally ERP,95,Data Entry Operator
18869,Bachelor's,Computer Science,"VPN, Ansible, Azure, Linux (Ubuntu)",CompTIA Security+,72,SOC Analyst
18870,Bachelor's,Commerce,"Cassandra, Redis, SQL, Pandas",PMI-PBA,69,Business Analyst
18871,Master's,Computer Science,"Django, DNS",Cisco CyberOps,91,IoT Engineer
18872,Master's,Computer Science,"REST API, Burp Suite, OOP",DeepLearning.AI NLP Specialization,85,NLP Engineer
18873,Bachelor's,Business,Notion,Scrum Master (CSM),94,IT Project Manager
18874,Bachelor's,Engineering,"Jira, Kotlin, Wireshark",AWS Certified Mobile,93,Mobile Developer (iOS / Android)
18875,Bachelor's,Computer Science,"Firebase, PHP, Windows Server, CI/CD",Coursera ML Specialization,80,Data Scientist
18876,Master's,Engineering,"Ruby, CI/CD",Cisco CyberOps,82,IoT Engineer
18877,Master's,Engineering,"Debian, OWASP",eJPT,83,Penetration Tester (Ethical Hacker)
18878,PhD,Science,"Ansible, Jenkins",AWS Solutions Architect,82,Enterprise Architect
18879,Bachelor's,Commerce,Python,AWS Certified,86,Research Scientist
18880,Bachelor's,Computer Science,"R, PowerShell, Firewall",HashiCorp Terraform,66,DevOps Engineer
18881,PhD,Computer Science,"Bitbucket, JavaScript, Spark",IBM Data Science Professional,93,Data Scientist
18882,Master's,Computer Science,"Communication, Firewall",Google IT Support,73,Technical Support Specialist
18883,Master's,Computer Science,"Subnetting, Design Patterns",SAFe Agilist,81,Scrum Master / Agile Coach
18884,Matric,Business,"Rust, SQL, Analytical Thinking",CompTIA IT Fundamentals,62,Data Entry Operator
18885,Bachelor's,Engineering,"Jenkins, Django, Azure",AWS Solutions Architect,81,Platform Engineer
18886,Matric,Commerce,Data Analysis,CFA Level 1,66,Software Engineer
18887,Bachelor's,Computer Science,"GitLab, Linux (Ubuntu)",CompTIA Security+,66,Cybersecurity Analyst
18888,Bachelor's,Computer Science,"CentOS, Wireshark",Cisco CCNA,73,Network Engineer
18889,Bachelor's,Computer Science,"OWASP, Redis, Load Balancer, Problem Solving",PMI-PBA,94,Business Analyst
18890,Intermediate,Commerce,"Wireshark, Redis",Microsoft Azure Administrator,76,Cloud Engineer
18891,PhD,Computer Science,Subnetting,TensorFlow Developer Certificate,69,Machine Learning Engineer
18892,Bachelor's,Psychology,"PostgreSQL, CentOS",Figma Professional,87,Product Designer
18893,Intermediate,Finance,"C++, Go, GraphQL",AWS Certified Machine Learning,64,NLP Engineer
18894,Intermediate,Commerce,"React Native, SIEM, Flutter",CompTIA IT Fundamentals,66,Data Entry Operator
18895,Master's,Computer Science,"SQL, Java",AWS Certified Machine Learning,64,Machine Learning Engineer
18896,Master's,Computer Science,"Swift (iOS), GitHub Actions, Kubernetes, PowerShell",AWS Certified Machine Learning,86,Data Scientist
18897,Bachelor's,Engineering,"Terraform, Kotlin",HashiCorp Terraform,62,DevOps Engineer
18898,Bachelor's,Computer Science,"Next.js, Bash/Shell Scripting, JavaScript",Google IT Support,78,IT Support / Help Desk
18899,PhD,Computer Science,"Elasticsearch, CI/CD, VPN",CISM,68,Cryptographer
18900,Bachelor's,Engineering,"Notion, Bitbucket, OOP, Kubernetes",CompTIA Security+,62,Cryptographer
18901,PhD,Computer Science,"Debian, Flutter, Subnetting, TCP/IP",Microsoft MTA,62,Technical Support Specialist
18902,Master's,Engineering,"System Design, Penetration Testing, R",CertNexus IoT,94,Embedded Systems Engineer
18903,Bachelor's,Science,"GitHub Actions, Kubernetes, Windows Server",AWS SysOps Administrator,75,Infrastructure Engineer
18904,Master's,Computer Science,"Vue, Redis, Bitbucket, Google Cloud",Figma Professional,63,Product Designer
18905,PhD,Computer Science,"Debian, Communication, Scala, TypeScript",AWS Certified Machine Learning,66,Machine Learning Engineer
18906,Bachelor's,Engineering,"Windows Server, DNS, Firewall",CertNexus IoT,79,IoT Engineer
18907,Bachelor's,Arts,"Machine Learning, MS Office",,80,Business Analyst
18908,PhD,Computer Science,"Pandas, Ruby",Google Data Analytics,84,Data Scientist
18909,Bachelor's,Science,"Linux (Ubuntu), HTTP/HTTPS",GCIA (GIAC),90,SOC Analyst
18910,Bachelor's,Computer Science,"Debian, Data Structures & Algorithms",STC Certification,86,Technical Writer
18911,Intermediate,Arts,"GitHub Actions, R",Microsoft Azure Developer,80,Backend Developer
18912,Bachelor's,Computer Science,"TCP/IP, CentOS",CompTIA A+,63,IT Support / Help Desk
18913,Master's,Computer Science,"Jenkins, Bitbucket",PMP,89,IT Consultant
18914,Intermediate,Engineering,"REST API, GitHub Actions",PMP,89,IT Consultant
18915,Bachelor's,Business,"Technical Writing, Problem Solving, Git, Agile/Scrum",Google Project Management,69,Product Manager
18916,Master's,Engineering,"AWS, Windows Server, Kubernetes",Microsoft Azure Administrator,90,Cloud Engineer
18917,Bachelor's,Business,"Counseling, SQL, Machine Learning",Mental Health Basics,83,ML Engineer
18918,Bachelor's,Engineering,"Elasticsearch, GraphQL",MySQL Certified,74,Database Administrator (DBA)
18919,Master's,Engineering,"Ansible, TCP/IP, Penetration Testing",CompTIA Network+,82,IoT Engineer
18920,PhD,Engineering,"Docker, PyTorch, CentOS",Microsoft MCSA,74,System Administrator
18921,Master's,Computer Science,"Analytical Thinking, Problem Solving, TensorFlow, Subnetting",CISSP,92,Cybersecurity Analyst
18922,Bachelor's,Computer Science,"PyTorch, Pandas, GraphQL, REST API",Google Professional ML Engineer,94,Machine Learning Engineer
18923,Bachelor's,Psychology,"TensorFlow, Design Patterns",TensorFlow Developer Certificate,83,NLP Engineer
18924,Bachelor's,Arts,"Cryptography, Jira, Analytical Thinking",Markdown Expert,73,Technical Writer
18925,Bachelor's,Business,"Subnetting, Debian",AWS SysOps Administrator,63,Infrastructure Engineer
18926,PhD,Engineering,"Linux (Ubuntu), Ansible",Google IT Support,91,Technical Support Specialist
18927,Bachelor's,Computer Science,"Problem Solving, System Design, DNS, HTTP/HTTPS",Certified Scrum Master (CSM),83,Scrum Master / Agile Coach
18928,Master's,Computer Science,"Microservices, Spark, Problem Solving, Analytical Thinking",DeepLearning.AI Specialization,87,Research Scientist
18929,Bachelor's,Arts,"Analytical Thinking, Pandas, TensorFlow, SIEM",Tableau Desktop Specialist,78,Business Intelligence Analyst
18930,Matric,Science,"Confluence, SIEM",AWS Solutions Architect,65,Platform Engineer
18931,Bachelor's,Computer Science,"JavaScript, Kubernetes",Google Professional Data Engineer,70,Data Engineer
18932,Bachelor's,Finance,"GitHub Actions, Swift (iOS)",AWS SysOps Administrator,72,System Administrator
18933,Matric,Engineering,"Financial Analysis, Machine Learning",CFA Level 1,66,Software Engineer
18934,Intermediate,Finance,"Django, Redis, Flutter",Cisco CCNA,87,Infrastructure Engineer
18935,Intermediate,Business,"Debian, Flask, Problem Solving, Firebase",CompTIA IT Fundamentals,77,Data Entry Operator
18936,Matric,Computer Science,"Flutter, PHP",Google Cloud Professional,65,Backend Developer
18937,Bachelor's,Computer Science,"Wireshark, DNS, Burp Suite, OWASP",Cisco CCNA,63,Network Engineer
18938,Master's,Commerce,"Jenkins, Data Structures & Algorithms, MongoDB",Ethereum Developer Certification,67,Blockchain Developer
18939,PhD,Computer Science,"Agile/Scrum, Kotlin/Java (Android), Kubernetes, System Design",NVIDIA Deep Learning Institute,87,Research Scientist
18940,Bachelor's,Computer Science,"Swift, MySQL, Next.js, GitHub Actions",AWS Certified Developer,87,Full Stack Developer
18941,Master's,Business,"NumPy, Hadoop, Azure",Scrum Master (CSM),83,IT Project Manager
18942,Master's,Computer Science,"SQL, Windows Server, Flask, Microservices",AWS Certified Machine Learning,95,Machine Learning Engineer
18943,Bachelor's,Science,"VPN, TCP/IP",Google IT Support,87,Technical Support Specialist
18944,Master's,Computer Science,"OWASP, Debian",CompTIA Security+,88,SOC Analyst
18945,Bachelor's,Engineering,"C++, Rust, CentOS, C#",GitHub Certified,62,Software Engineer
18946,Intermediate,Business,"Firewall, Ansible, Jetpack Compose",Microsoft Office Specialist,69,Data Entry Operator
18947,Master's,Computer Science,"HTTP/HTTPS, Penetration Testing, Data Structures & Algorithms, CentOS",CISSP,77,Cybersecurity Analyst
18948,Bachelor's,Engineering,"Agile/Scrum, Notion, Microservices, SQL",ISTQB Foundation,79,QA Engineer / Software Tester
18949,Matric,Psychology,"Jira, Problem Solving",ISTQB Foundation,80,QA Engineer / Software Tester
18950,Bachelor's,Computer Science,"C, Swift (iOS)",Google Associate Cloud Engineer,72,Software Engineer
18951,Master's,Science,"NumPy, PowerShell, Tableau, Azure",AWS SysOps Administrator,77,Infrastructure Engineer
18952,Bachelor's,Computer Science,"Swift, GraphQL, Technical Writing",AWS Certified Machine Learning,93,Data Scientist
18953,Master's,Computer Science,"C, TypeScript",IBM Data Science Professional,83,Data Scientist
18954,Bachelor's,Science,"Debian, SQL",Google Cloud Professional,75,Cloud Engineer
18955,PhD,Computer Science,"Jenkins, System Design",ITIL Expert,73,IT Consultant
18956,Bachelor's,Finance,"Microservices, Spring Boot, Jetpack Compose",Adobe Certified Professional,73,UI/UX Designer
18957,Bachelor's,Computer Science,"MongoDB, REST API, Kali Linux, Spark",TensorFlow Developer Certificate,69,Machine Learning Engineer
18958,PhD,Engineering,"JavaScript, Jetpack Compose, Cryptography, Scala",Meta Front-End Developer,63,Frontend Developer
18959,Master's,Psychology,"Ruby, TensorFlow, Bash/Shell Scripting",AWS IoT Specialty,82,IoT Engineer
18960,Bachelor's,Computer Science,"Pandas, Notion",PMI-PBA,80,Business Analyst
18961,Master's,Computer Science,"C++, Python, Elasticsearch",AWS Certified Developer,69,Software Engineer / Developer
18962,PhD,Business,"TensorFlow, Ansible",AWS Certified Developer,65,Frontend Developer
18963,Intermediate,Psychology,SQL,Google Data Analytics,85,Research Scientist
18964,Bachelor's,Engineering,"Bash/Shell Scripting, Swift, Notion",Google Associate Cloud Engineer,90,Software Engineer
18965,Bachelor's,Computer Science,"NumPy, HTML, Bash/Shell Scripting",AWS Certified Machine Learning,62,Machine Learning Engineer
18966,PhD,Science,"SIEM, Data Structures & Algorithms",NVIDIA Deep Learning Institute,90,Research Scientist
18967,Bachelor's,Engineering,"OOP, Node.js, CentOS",Interaction Design Foundation,72,UI/UX Designer
18968,PhD,Engineering,"OWASP, Go, AWS",TOGAF,92,Enterprise Architect
18969,Intermediate,Business,"SQL, GitLab",AWS Certified Mobile,61,Mobile Developer (iOS / Android)
18970,PhD,Science,"Agile/Scrum, REST API, Kali Linux, Firebase",DeepLearning.AI Specialization,77,Research Scientist
18971,Bachelor's,Engineering,"React, Design Patterns, OOP, System Design",Adobe Certified Professional,95,UI/UX Designer
18972,PhD,Science,"System Design, MySQL, Scala, GitHub Actions",Tricentis Tosca,95,Automation Test Engineer
18973,Intermediate,Business,"Windows Server, Communication, CentOS",CompTIA IT Fundamentals,72,Data Entry Operator
18974,Bachelor's,Computer Science,"DNS, Rust, Swift (iOS)",HashiCorp Terraform,64,DevOps Engineer
18975,Matric,Computer Science,"Marketing, Machine Learning, Communication",CFA Level 1,91,Business Analyst
18976,Bachelor's,Commerce,"GitLab, CentOS, Confluence",PMI-PBA,92,Business Analyst
18977,PhD,Computer Science,"Notion, PyTorch",CompTIA Cloud+,62,Infrastructure Engineer
18978,PhD,Computer Science,"Bash/Shell Scripting, Design Patterns, Microservices, Swift",Google Professional ML Engineer,87,Research Scientist
18979,PhD,Engineering,"Kubernetes, Python, Wireshark",CertNexus IoT,70,Embedded Systems Engineer
18980,Master's,Commerce,"Communication, GraphQL",TOGAF,86,Enterprise Architect
18981,Intermediate,Computer Science,"Analytical Thinking, Microservices, Technical Writing, MySQL",TOGAF,95,Enterprise Architect
18982,Bachelor's,Computer Science,"PostgreSQL, Next.js, Elasticsearch",AWS Certified Developer,81,Full Stack Developer
18983,Bachelor's,Psychology,"OOP, Kubernetes, Power BI",Unreal Engine Certification,81,Game Developer
18984,Bachelor's,Science,"Python, GitLab, HTML, Jira",React Native Certification,66,Mobile Developer (iOS / Android)
18985,Master's,Computer Science,"Metasploit, Debian",CompTIA Linux+,80,System Administrator
18986,Bachelor's,Engineering,"Debian, Kotlin",Microsoft SQL Server Certification,70,Database Administrator (DBA)
18987,Bachelor's,Science,"C, GitHub, Scala, Technical Writing",Google Associate Android Developer,64,Mobile Developer (iOS / Android)
18988,Intermediate,Engineering,"React, TCP/IP, Bitbucket",CertNexus IoT,82,IoT Engineer
18989,Matric,Engineering,"Data Analysis, SQL",CFA Level 1,79,Data Entry Operator
18990,Master's,Computer Science,"Cassandra, Design Patterns, TensorFlow",PMP,60,IT Consultant
18991,Bachelor's,Computer Science,"MongoDB, HTTP/HTTPS",CompTIA Security+,64,Cybersecurity Analyst
18992,PhD,Computer Science,"GraphQL, Kubernetes, Microservices",NVIDIA Deep Learning Institute,90,Research Scientist
18993,Intermediate,Computer Science,"HTTP/HTTPS, Problem Solving, C++, Azure",Microsoft MTA,81,IT Support / Help Desk
18994,PhD,Computer Science,"AWS, Laravel, Analytical Thinking",Microsoft Azure Developer,82,Full Stack Developer
18995,Matric,Engineering,"Analytical Thinking, DNS",Microsoft MTA,91,Technical Support Specialist
18996,PhD,Commerce,"Spark, MongoDB",ICAgile,83,Scrum Master / Agile Coach
18997,Bachelor's,Computer Science,"Design Patterns, Redis",Microsoft SQL Server Certification,78,Database Administrator (DBA)
18998,Matric,Science,"OOP, Data Structures & Algorithms, REST API",CISM,87,Cryptographer
18999,Bachelor's,Finance,"Rust, SQLite, Go, TypeScript",Microsoft Power BI,88,Data Analyst
19000,Bachelor's,Computer Science,"SQLite, Technical Writing, Problem Solving",Tableau Desktop Specialist,63,Business Analyst
19001,Bachelor's,Computer Science,"Django, Bash/Shell Scripting",CISM,95,Cybersecurity Analyst
19002,Bachelor's,Computer Science,"OOP, HTTP/HTTPS",TensorFlow Developer Certificate,94,NLP Engineer
19003,Matric,Computer Science,Machine Learning,,63,Software Engineer
19004,Master's,Computer Science,"R, Problem Solving, Scala",Microsoft Power BI,83,Data Analyst
19005,Master's,Business,"C, Ansible, Firewall, Data Structures & Algorithms",NVIDIA Deep Learning,84,Computer Vision Engineer
19006,Master's,Arts,"Scikit-learn, Jenkins",AWS Solutions Architect,66,Enterprise Architect
19007,Bachelor's,Business,"Pandas, Bitbucket, GitLab, SIEM",AIPMM CPM,75,Product Manager
19008,Bachelor's,Computer Science,"PowerShell, Laravel",Google UX Design Certificate,65,Product Designer
19009,Intermediate,Computer Science,"SIEM, Laravel",Google UX Design Certificate,65,Frontend Developer
19010,Bachelor's,Computer Science,"MySQL, NumPy",Microsoft Power BI,90,Data Analyst
19011,Bachelor's,Engineering,"PostgreSQL, CentOS",PostgreSQL Associate,72,Database Administrator (DBA)
19012,Bachelor's,Engineering,"Terraform, Google Cloud, CI/CD, Pandas",Juniper JNCIA,77,Network Engineer
19013,PhD,Finance,"Communication, Python, Counseling",AWS Certified,75,Software Engineer
19014,Intermediate,Engineering,"Communication, Accounting, Counseling",AWS Certified,68,Software Engineer
19015,Master's,Computer Science,"Design Patterns, SQLite",Google Associate Cloud Engineer,69,Software Engineer
19016,Master's,Computer Science,"Data Structures & Algorithms, Ruby, C#, Notion",GitHub Certified,87,Software Engineer / Developer
19017,Master's,Computer Science,"GitLab, Analytical Thinking, CSS, VPN",HashiCorp Terraform,85,Platform Engineer
19018,Bachelor's,Engineering,"Confluence, VPN",AWS Certified DevOps Engineer,90,DevOps Engineer
19019,Bachelor's,Computer Science,"Notion, Azure, Linux (Ubuntu), PyTorch",Cisco CCNP,83,Network Engineer
19020,Master's,Computer Science,"C#, Burp Suite",NVIDIA Deep Learning,90,Computer Vision Engineer
19021,Bachelor's,Commerce,"MySQL, Problem Solving, Cassandra, DNS",CompTIA IT Fundamentals,91,Data Entry Operator
19022,Bachelor's,Computer Science,"Technical Writing, REST API, Microservices, Google Cloud",PostgreSQL Associate,77,Database Administrator (DBA)
19023,Bachelor's,Computer Science,"Windows Server, Swift, Debian, Kali Linux",Oracle DBA Certified,75,Database Administrator (DBA)
19024,Master's,Computer Science,"AWS, Scikit-learn",CISM,92,Security Engineer
19025,PhD,Computer Science,"Technical Writing, Azure",Databricks ML Associate,95,Machine Learning Engineer
19026,Bachelor's,Commerce,"Redis, Jenkins",Google IT Support,86,Technical Support Specialist
19027,Bachelor's,Computer Science,"Git, Analytical Thinking",Google UX Design Certificate,73,Product Designer
19028,PhD,Finance,"OWASP, Hadoop, JavaScript, Flutter",AWS Certified Developer,92,Frontend Developer
19029,Master's,Computer Science,"Azure, Problem Solving, Power BI, Analytical Thinking",IBM Data Analyst Professional,78,Data Analyst
19030,Master's,Computer Science,"Design Patterns, Python",AWS Certified Machine Learning,91,Data Scientist
19031,Bachelor's,Business,"Pandas, Firewall, Linux (Ubuntu), Power BI",Red Hat RHCSA,81,System Administrator
19032,Master's,Computer Science,"Subnetting, Agile/Scrum, Ruby",AWS Certified Developer,65,Software Engineer / Developer
19033,Intermediate,Arts,"NumPy, MySQL, Firewall",Figma Professional,74,UI/UX Designer
19034,Master's,Computer Science,"Kotlin, Metasploit, System Design",Microsoft Azure Developer,63,Backend Developer
19035,Master's,Commerce,"VPN, PHP, Azure, CentOS",CKA (Kubernetes),94,Site Reliability Engineer (SRE)
19036,Bachelor's,Business,"Java, Go, Kotlin",Unreal Engine Certification,87,AR/VR Developer
19037,Matric,Science,"CentOS, Bash/Shell Scripting, Load Balancer",Microsoft MTA,90,IT Support / Help Desk
19038,Matric,Finance,"Communication, Data Analysis, Counseling",Digital Marketing,65,Data Entry Operator
19039,Bachelor's,Commerce,"C#, React Native, Microservices",Unity Certified Developer,74,AR/VR Developer
19040,Master's,Business,"Debian, Kubernetes, Git",PRINCE2,74,IT Project Manager
19041,Master's,Science,"HTML, R, Communication, Flutter",Microsoft Power BI,74,Business Intelligence Analyst
19042,Matric,Business,"Accounting, Communication, Data Analysis",Tally ERP,71,Data Entry Operator
19043,Bachelor's,Computer Science,"Cassandra, Google Cloud, Django",Databricks Associate,77,Data Engineer
19044,Bachelor's,Business,"C#, REST API, SIEM, Analytical Thinking",ARM Certified Engineer,86,Firmware Engineer
19045,Intermediate,Computer Science,"Microservices, Terraform, Jira, Notion",AWS Certified SysOps,71,Site Reliability Engineer (SRE)
19046,Intermediate,Computer Science,"Subnetting, VPN, Node.js",Microsoft MTA,65,IT Support / Help Desk
19047,Bachelor's,Business,"Analytical Thinking, Notion",PRINCE2,65,IT Project Manager
19048,Bachelor's,Computer Science,"C#, Debian, GraphQL, PHP",IBM Data Analyst Professional,77,Data Analyst
19049,Bachelor's,Computer Science,"Elasticsearch, AWS, TCP/IP",Google Associate Cloud Engineer,62,Software Engineer
19050,Bachelor's,Computer Science,"C++, OOP",AWS Certified Developer,71,Software Engineer
19051,Bachelor's,Computer Science,"Rust, Terraform, Power BI",AWS Certified Developer,74,Backend Developer
19052,Bachelor's,Engineering,"OOP, CentOS, HTML",GitHub Certified,69,Software Engineer / Developer
19053,Bachelor's,Engineering,"Agile/Scrum, Jenkins, Design Patterns",IBM Business Analytics,84,Business Intelligence Analyst
19054,Bachelor's,Commerce,"Design Patterns, Communication, Next.js",HP ALM Certified,94,QA Engineer / Software Tester
19055,Intermediate,Business,"Vue, REST API",Meta Front-End Developer,74,Frontend Developer
19056,Bachelor's,Engineering,"MySQL, Analytical Thinking, Scikit-learn, React Native",Google Data Analytics,80,Data Analyst
19057,Master's,Business,"GraphQL, PostgreSQL, OOP",PMI-PBA,91,Business Analyst
19058,Bachelor's,Computer Science,"Ansible, SIEM, TensorFlow",AWS Certified Machine Learning,81,Data Scientist
19059,Bachelor's,Computer Science,"MySQL, Google Cloud, Wireshark",ITIL Foundation,71,Technical Writer
19060,Bachelor's,Engineering,"Cassandra, R, Scala, OOP",Oracle Java Certified,92,Software Engineer
19061,Matric,Computer Science,"Jira, Problem Solving, Next.js, MongoDB",Meta Front-End Developer,72,Frontend Developer
19062,Bachelor's,Computer Science,"HTTP/HTTPS, Go, Jira, Data Structures & Algorithms",CISM,67,Cybersecurity Analyst
19063,Bachelor's,Computer Science,"Elasticsearch, Problem Solving, Jenkins",Google Cloud Professional,90,Backend Developer
19064,Bachelor's,Psychology,"GitHub Actions, Azure, CentOS",Figma Professional,69,UI/UX Designer
19065,Master's,Business,"Agile/Scrum, Redis, Communication",HP ALM Certified,84,QA Engineer / Software Tester
19066,PhD,Engineering,"VPN, Jetpack Compose, PyTorch, Terraform",Unity Certified Developer,71,Game Developer
19067,Bachelor's,Finance,"Communication, Metasploit, Flutter, Scala",Databricks Associate,80,Data Engineer
19068,PhD,Computer Science,"Jira, Elasticsearch",Google UX Design Certificate,77,Product Designer
19069,Master's,Computer Science,"Burp Suite, C",Coursera ML Specialization,78,Data Scientist
19070,Intermediate,Science,"React, Hadoop",Microsoft Azure Developer,91,Full Stack Developer
19071,Bachelor's,Science,"Communication, Agile/Scrum, GitLab, GitHub Actions",Google UX Design Certificate,68,Frontend Developer
19072,PhD,Commerce,"Express, Google Cloud",CompTIA Network+,68,IoT Engineer
19073,Master's,Computer Science,"CentOS, Ansible",AWS Certified Data Analytics,90,Data Engineer
19074,Matric,Business,"Cassandra, Jetpack Compose, Problem Solving",Tally ERP,85,Data Entry Operator
19075,PhD,Computer Science,"React Native, Java, VPN",OSCP (Offensive Security),93,Penetration Tester (Ethical Hacker)
19076,Bachelor's,Commerce,"Agile/Scrum, Communication, Firebase, OSI Model",Cisco CCNA,95,Infrastructure Engineer
19077,Master's,Business,"Redis, Design Patterns",PMI-PBA,87,Business Analyst
19078,Bachelor's,Engineering,"Cryptography, Vue, System Design, Azure",AWS SysOps Administrator,88,Infrastructure Engineer
19079,Master's,Business,"PHP, TensorFlow, Hadoop, Kotlin",AWS Certified Machine Learning,86,Computer Vision Engineer
19080,PhD,Engineering,"OOP, PyTorch, GitHub Actions, Bitbucket",AWS Certified Mobile,61,Mobile Developer (iOS / Android)
19081,Bachelor's,Computer Science,"Firebase, Bash/Shell Scripting, Next.js",GitHub Certified,94,Software Engineer
19082,Intermediate,Psychology,"Data Structures & Algorithms, HTTP/HTTPS, Java, GraphQL",Meta Front-End Developer,80,Frontend Developer
19083,Bachelor's,Business,"Spark, Express, Tableau, System Design",PMI-PBA,70,Business Analyst
19084,Bachelor's,Engineering,"CI/CD, Scikit-learn",Databricks Associate,86,Data Engineer
19085,Bachelor's,Computer Science,"Bitbucket, Wireshark, System Design, OOP",PMI-PBA,90,Business Analyst
19086,Bachelor's,Computer Science,"Design Patterns, Notion",Markdown Expert,67,Technical Writer
19087,Matric,Psychology,"PyTorch, TCP/IP, Hadoop, Scikit-learn",Google Professional Data Engineer,78,Data Engineer
19088,Bachelor's,Engineering,"R, Windows Server, Debian",CompTIA PenTest+,92,Penetration Tester (Ethical Hacker)
19089,Bachelor's,Engineering,"MySQL, Windows Server, SQL",PostgreSQL Associate,70,Database Administrator (DBA)
19090,Bachelor's,Computer Science,"GraphQL, PHP",AWS Certified Machine Learning,83,Data Scientist
19091,Bachelor's,Engineering,"GitHub Actions, MySQL, CI/CD, Redis",Google Cloud Professional,76,Backend Developer
19092,Master's,Computer Science,"CI/CD, Linux (Ubuntu), Terraform",AWS Solutions Architect,86,Cloud Engineer
19093,Bachelor's,Finance,"CI/CD, Firebase, CentOS, Problem Solving",AWS Certified Data Analytics,87,Data Engineer
